Region,Month,Target
North,January,6995.58
North,February,4629.53
North,March,4202.47
North,April,7112.78
North,May,3575.31
North,June,5381.18
South,January,5789.47
South,February,6056.67
South,March,3727.36
South,April,6153.25
South,May,5503.1
South,June,7255.59
East,January,3141.76
East,February,7785.88
East,March,3863.4
East,April,7066.78
East,May,5536.57
East,June,7178.47
West,January,3914.37
West,February,4607.41
West,March,3435.91
West,April,6893.6
West,May,5669.84
West,June,4024.88
